Category: All categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Lyme disease: (United States),Tick: (United States),Lyme disease: (Connecticut),Tick: (Connecticut),Lyme disease: (Delaware),Tick: (Delaware),Lyme disease: (Maine),Tick: (Maine),Lyme disease: (Maryland),Tick: (Maryland),Lyme disease: (Massachusetts),Tick: (Massachusetts),Lyme disease: (Minnesota),Tick: (Minnesota),Lyme disease: (New Hampshire),Tick: (New Hampshire),Lyme disease: (New Jersey),Tick: (New Jersey),Lyme disease: (New York),Tick: (New York),Lyme disease: (Pennsylvania),Tick: (Pennsylvania),Lyme disease: (Rhode Island),Tick: (Rhode Island),Lyme disease: (Vermont),Tick: (Vermont),Lyme disease: (Virginia),Tick: (Virginia),Lyme disease: (Wisconsin),Tick: (Wisconsin)
2004-01,16,10,22,3,0,0,4,0,17,13,7,6,9,6,4,4,15,6,12,5,8,5,42,0,0,7,11,7,25,6
2004-02,14,11,13,0,0,0,4,0,16,4,9,2,20,6,8,8,11,8,11,5,14,4,41,10,0,7,19,6,6,6
2004-03,18,18,10,7,0,26,9,5,11,16,9,8,11,11,5,5,29,11,22,9,14,10,25,12,16,0,8,3,11,4
2004-04,25,26,26,26,58,19,4,15,29,25,21,20,28,28,32,8,28,17,20,17,17,14,29,19,6,0,10,22,23,9
2004-05,37,42,44,16,71,18,21,24,48,33,42,36,31,26,39,18,41,36,40,37,26,25,61,44,6,23,45,30,34,31
2004-06,40,34,52,19,18,0,11,15,48,18,40,27,36,25,43,15,38,42,38,27,34,21,47,19,6,12,46,35,20,52
2004-07,39,25,45,13,18,53,17,21,68,15,32,20,33,11,12,21,44,18,47,16,48,9,39,20,26,7,29,19,41,15
2004-08,30,17,53,9,16,0,23,0,55,10,26,8,22,20,15,4,23,11,31,13,25,10,55,9,17,0,33,9,35,16
2004-09,22,13,47,6,15,15,21,0,25,13,14,5,25,9,6,10,23,15,35,11,15,9,31,0,5,0,21,6,10,7
2004-10,20,17,37,17,0,0,0,11,30,20,21,16,21,2,6,6,24,24,17,18,23,13,39,8,10,15,15,3,20,10
2004-11,18,16,30,6,16,16,11,11,31,14,10,12,36,7,7,3,16,12,18,11,18,8,32,0,5,5,23,3,18,5
2004-12,16,9,20,7,14,0,6,6,15,0,12,5,6,4,12,6,24,3,13,8,9,5,7,0,8,0,12,6,7,0
2005-01,15,10,23,3,13,13,3,3,13,16,10,7,15,4,5,5,9,5,13,6,16,7,26,13,15,0,11,9,10,2
2005-02,17,9,17,7,0,0,9,0,8,8,9,4,19,6,0,3,15,7,11,5,17,8,13,0,16,0,19,11,6,4
2005-03,17,13,24,3,0,0,2,2,28,12,7,4,14,3,7,7,12,5,16,7,8,10,38,16,3,0,17,5,14,5
2005-04,23,27,36,14,13,13,12,27,48,32,22,18,15,19,14,14,25,29,22,15,22,16,32,13,16,4,15,25,10,17
2005-05,33,39,37,31,47,12,30,15,46,28,41,30,29,34,18,16,28,31,31,24,29,17,28,28,7,14,31,37,22,29
2005-06,46,39,49,19,25,13,26,23,84,31,51,29,37,37,17,25,59,26,50,33,28,24,76,38,23,19,46,26,23,45
2005-07,50,30,70,13,100,12,33,9,84,29,46,18,37,18,20,7,65,34,58,30,50,23,100,25,8,0,58,21,28,15
2005-08,32,20,51,8,11,0,19,3,56,13,39,9,22,12,20,9,41,16,47,17,29,12,53,12,11,4,26,19,30,14
2005-09,24,14,46,9,0,10,10,2,43,4,21,7,19,6,12,6,32,10,25,13,23,5,36,5,9,9,18,13,19,6
2005-10,19,16,26,12,9,0,15,15,21,14,19,9,10,11,20,4,19,14,25,18,16,14,23,9,12,15,12,7,12,10
2005-11,18,15,24,14,29,29,16,2,24,28,15,13,19,9,13,4,26,26,22,17,23,15,37,23,9,9,13,16,18,9
2005-12,14,10,15,5,29,10,10,0,19,9,6,2,15,1,4,2,15,13,10,6,15,5,18,9,3,3,12,11,8,4
2006-01,15,10,21,1,9,9,8,2,31,14,9,4,10,9,6,0,20,6,12,8,15,4,37,12,3,0,14,6,6,4
2006-02,15,11,22,4,9,0,6,2,21,4,14,6,6,1,3,3,20,6,17,9,13,5,41,17,8,0,16,11,10,5
2006-03,16,14,17,7,0,8,12,3,22,12,14,12,7,10,11,6,20,9,16,12,19,9,29,0,9,7,13,18,8,4
2006-04,24,31,32,14,8,8,16,20,25,20,22,22,16,24,20,13,25,33,23,24,27,23,8,23,15,17,25,16,12,22
2006-05,29,38,42,20,35,28,30,30,44,44,28,22,36,37,12,30,38,46,25,32,29,30,40,22,7,19,25,33,28,43
2006-06,42,38,61,15,56,48,33,26,66,41,38,28,30,27,26,18,54,36,41,33,38,23,53,24,21,8,49,51,44,40
2006-07,36,31,47,13,50,17,11,11,57,28,55,24,40,14,26,8,50,25,48,27,37,19,81,16,23,3,32,36,33,15
2006-08,30,21,56,9,38,23,15,12,41,14,31,11,20,9,30,7,23,14,40,18,28,10,48,22,12,5,29,21,27,17
2006-09,23,16,36,6,7,7,19,3,37,21,24,7,25,4,24,7,20,14,25,9,20,6,41,17,14,2,19,10,18,3
2006-10,20,17,29,15,19,6,13,8,34,18,22,14,17,7,17,8,18,22,21,24,18,17,19,19,11,15,20,11,12,16
