"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"446: Health and Personal Care Stores: U.S. Total"
"Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 2004 to 2016"
"Data Extracted on: May 1, 2018 (12:24 pm)"

Period,Value
Jan-2004,16336
Feb-2004,15649
Mar-2004,17170
Apr-2004,16542
May-2004,16528
Jun-2004,16388
Jul-2004,16306
Aug-2004,16377
Sep-2004,15986
Oct-2004,16421
Nov-2004,16460
Dec-2004,19127
Jan-2005,16859
Feb-2005,16445
Mar-2005,18056
Apr-2005,17107
May-2005,17639
Jun-2005,17201
Jul-2005,17018
Aug-2005,17618
Sep-2005,17105
Oct-2005,17387
Nov-2005,17466
Dec-2005,20184
Jan-2006,17892
Feb-2006,17218
Mar-2006,19024
Apr-2006,17763
May-2006,19038
Jun-2006,18454
Jul-2006,18006
Aug-2006,18813
Sep-2006,18100
Oct-2006,18892
Nov-2006,18890
Dec-2006,21246
Jan-2007,19598
Feb-2007,18431
Mar-2007,20224
Apr-2007,19259
May-2007,20181
Jun-2007,19542
Jul-2007,19375
Aug-2007,20154
Sep-2007,18864
Oct-2007,20208
Nov-2007,19639
Dec-2007,21689
Jan-2008,20200
Feb-2008,20056
Mar-2008,20755
Apr-2008,20051
May-2008,20906
Jun-2008,20046
Jul-2008,20434
Aug-2008,20249
Sep-2008,19993
Oct-2008,20886
Nov-2008,19833
Dec-2008,23164
Jan-2009,20691
Feb-2009,19840
Mar-2009,21535
Apr-2009,21059
May-2009,21079
Jun-2009,20971
Jul-2009,20838
Aug-2009,20585
Sep-2009,20615
Oct-2009,21342
Nov-2009,20607
Dec-2009,23632
Jan-2010,20721
Feb-2010,20118
Mar-2010,22474
Apr-2010,21471
May-2010,21335
Jun-2010,21466
Jul-2010,21342
Aug-2010,21601
Sep-2010,21297
Oct-2010,21796
Nov-2010,21869
Dec-2010,24945
Jan-2011,22218
Feb-2011,21284
Mar-2011,23623
Apr-2011,22246
May-2011,22766
Jun-2011,22381
Jul-2011,21864
Aug-2011,22982
Sep-2011,22173
Oct-2011,22510
Nov-2011,22326
Dec-2011,25239
Jan-2012,22743
Feb-2012,22608
Mar-2012,23840
Apr-2012,22607
May-2012,23364
Jun-2012,22022
Jul-2012,22155
Aug-2012,22968
Sep-2012,21365
Oct-2012,22842
Nov-2012,22321
Dec-2012,25165
Jan-2013,23369
Feb-2013,21823
Mar-2013,23632
Apr-2013,22950
May-2013,23711
Jun-2013,22268
Jul-2013,23229
Aug-2013,23530
Sep-2013,22934
Oct-2013,24268
Nov-2013,23342
Dec-2013,26784
Jan-2014,24171
Feb-2014,22781
Mar-2014,24633
Apr-2014,24430
May-2014,25168
Jun-2014,24424
Jul-2014,24815
Aug-2014,24850
Sep-2014,24816
Oct-2014,25719
Nov-2014,24286
Dec-2014,29170
Jan-2015,25689
Feb-2015,24108
Mar-2015,26843
Apr-2015,25623
May-2015,25560
Jun-2015,25787
Jul-2015,25957
Aug-2015,25882
Sep-2015,26285
Oct-2015,26813
Nov-2015,25963
Dec-2015,30747
Jan-2016,26174
Feb-2016,26842
Mar-2016,28427
Apr-2016,27063
May-2016,27598
Jun-2016,27452
Jul-2016,26564
Aug-2016,27922
Sep-2016,27141
Oct-2016,26607
Nov-2016,26725
Dec-2016,30692
