Category: All categories,
,
Month,Lyme disease: (Wisconsin)
2004-01,25
2004-02,12
2004-03,22
2004-04,23
2004-05,78
2004-06,91
2004-07,58
2004-08,42
2004-09,48
2004-10,10
2004-11,25
2004-12,21
2005-01,16
2005-02,27
2005-03,10
2005-04,30
2005-05,37
2005-06,72
2005-07,48
2005-08,63
2005-09,35
2005-10,32
2005-11,50
2005-12,19
2006-01,12
2006-02,8
2006-03,27
2006-04,33
2006-05,73
2006-06,81
2006-07,66
2006-08,49
2006-09,32
2006-10,33
2006-11,44
2006-12,12
2007-01,16
2007-02,11
2007-03,18
2007-04,41
2007-05,77
2007-06,99
2007-07,70
2007-08,48
2007-09,35
2007-10,45
2007-11,30
2007-12,15
2008-01,24
2008-02,21
2008-03,8
2008-04,30
2008-05,61
2008-06,81
2008-07,70
2008-08,52
2008-09,38
2008-10,36
2008-11,23
2008-12,11
2009-01,26
2009-02,22
2009-03,39
2009-04,40
2009-05,58
2009-06,65
2009-07,91
2009-08,62
2009-09,38
2009-10,37
2009-11,38
2009-12,22
2010-01,27
2010-02,30
2010-03,15
2010-04,45
2010-05,68
2010-06,76
2010-07,59
2010-08,46
2010-09,44
2010-10,44
2010-11,24
2010-12,20
2011-01,24
2011-02,24
2011-03,23
2011-04,34
2011-05,61
2011-06,79
2011-07,81
2011-08,50
2011-09,32
2011-10,35
2011-11,36
2011-12,20
2012-01,22
2012-02,20
2012-03,41
2012-04,55
2012-05,64
2012-06,59
2012-07,51
2012-08,38
2012-09,31
2012-10,24
2012-11,28
2012-12,23
2013-01,23
2013-02,19
2013-03,28
2013-04,33
2013-05,73
2013-06,89
2013-07,88
2013-08,57
2013-09,38
2013-10,61
2013-11,33
2013-12,28
2014-01,21
2014-02,26
2014-03,22
2014-04,34
2014-05,80
2014-06,75
2014-07,67
2014-08,45
2014-09,43
2014-10,35
2014-11,23
2014-12,26
2015-01,21
2015-02,27
2015-03,29
2015-04,57
2015-05,91
2015-06,100
2015-07,81
2015-08,61
2015-09,45
2015-10,39
2015-11,46
2015-12,38
2016-01,30
2016-02,26
2016-03,41
2016-04,40
2016-05,66
2016-06,81
2016-07,68
2016-08,55
2016-09,42
2016-10,41
2016-11,43
2016-12,26
2017-01,24
2017-02,25
2017-03,35
2017-04,50
2017-05,86
2017-06,98
2017-07,87
2017-08,55
2017-09,45
2017-10,47
2017-11,31
2017-12,30
2018-01,21
2018-02,26
2018-03,31
2018-04,30
2018-05,51
